indv,group,lat,long,impervious,canopy
H_AC12,1,25.664444,-80.280833,3,66
H_AC13,1,25.664444,-80.280833,3,66
H_AC14,1,25.664444,-80.280833,3,66
H_AC16,1,25.750445,-80.434731,0,64
H_AC17,1,25.750445,-80.434731,0,64
H_AC18,1,25.750445,-80.434731,0,64
H_AC19,1,25.750445,-80.434731,0,64
H_AC29,1,25.750445,-80.434731,0,64
H_AC30,1,25.750445,-80.434731,0,64
H_AC4,1,25.664444,-80.280833,3,66
H_AC5,1,25.664444,-80.280833,3,66
H_AC7,1,25.664444,-80.280833,3,66
H_AC8,1,25.664444,-80.280833,3,66
H_JJK1836,1,25.678712,-80.285042,36,16
H_JJK1838,1,25.678712,-80.285042,36,16
H_JJK1874,1,25.678712,-80.285042,36,16
H_JJK1875,1,25.678712,-80.285042,36,16
H_JJK1876,1,25.678712,-80.285042,36,16
H_JJK1877,1,25.678712,-80.285042,36,16
H_JJK1945,1,25.724025,-80.279876,0,20
H_JJK1948,1,25.679004,-80.284428,20,0
H_JJK1949,1,25.679004,-80.284428,20,0
H_JJK1951,1,25.679004,-80.284428,20,0
H_MIA195,1,25.6425,-80.287222,0,70
H_MIA196,1,25.6425,-80.287222,0,70
H_MIA713,1,25.679004,-80.284428,20,0
H_MIA802,1,25.94592,-80.29937,35,0
H_MIA803,1,25.94599,-80.29938,35,0
H_MIA806,1,25.94622,-80.29937,44,0
H_MIA82,1,25.688169,-80.290931,17,21
H_AC20,2,25.750445,-80.434731,0,64
H_AC21,2,25.750445,-80.434731,0,64
H_AC32,2,25.689444,-80.158889,44,0
H_AC34,2,25.689444,-80.158889,44,0
H_AC36,2,25.689444,-80.158889,44,0
H_AC40,2,25.689444,-80.158889,44,0
H_JJK1837,2,25.678712,-80.285042,36,16
H_JJK1860,2,25.722331,-80.280485,21,0
H_JJK1861,2,25.722331,-80.280485,21,0
H_JJK1947,2,25.679004,-80.284428,20,0
H_JJK3581,2,25.706206,-80.296669,1,80
H_JJK3582,2,25.706206,-80.296669,1,80
H_MIA172,2,25.747347,-80.209697,24,36
H_MIA173,2,25.747347,-80.209697,24,36
H_MIA49,2,25.705,-80.271056,3,21
H_MIA50,2,25.704983,-80.271492,1,17
H_MIA636,2,25.704328,-80.284173,27,0
H_MIA637,2,25.704328,-80.284173,27,0
H_MIA644,2,25.705848,-80.297061,10,0
H_MIA647,2,25.705848,-80.297061,10,0
H_MIA651,2,25.705848,-80.297061,10,0
H_MIA669,2,25.703548,-80.303452,16,0
H_MIA670,2,25.703548,-80.303452,16,0
H_MIA677,2,25.713663,-80.291831,28,13
H_MIA678,2,25.710727,-80.283879,55,0
H_MIA681,2,25.710727,-80.283879,55,0
H_MIA694,2,25.715572,-80.280804,41,0
H_MIA701,2,25.715631,-80.280835,41,0
H_MIA705,2,25.717062,-80.275447,43,0
H_MIA706,2,25.717062,-80.275447,43,0
H_MIA725,2,25.72135,-80.280275,70,0
H_MIA744,2,25.738302,-80.309376,0,63
H_MIA745,2,25.738302,-80.309376,0,63
H_MIA748,2,25.742569,-80.314544,36,21
H_MIA750,2,25.742569,-80.314544,36,21
H_MIA76,2,25.697631,-80.271878,4,56
H_MIA77,2,25.697575,-80.268622,23,13
H_MIA80,2,25.700972,-80.263261,10,30
H_MIA808,2,25.94461,-80.29932,40,0
